timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_x[3],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_y[3],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_frequencies_z[3],peak_magnitude_x[0],peak_magnitude_x[1],peak_magnitude_x[2],peak_magnitude_x[3],peak_magnitude_y[0],peak_magnitude_y[1],peak_magnitude_y[2],peak_magnitude_y[3],peak_magnitude_z[0],peak_magnitude_z[1],peak_magnitude_z[2],peak_magnitude_z[3],total_energy[0],total_energy[1],total_energy[2]
146572501,146569072,6684682,1999.1115,1.9522573,154.41927,155.75215,nan,nan,154.45734,nan,nan,nan,nan,nan,nan,nan,53.0,45.0,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,1149.0,776.0,1812.0
146698780,146698180,6684682,1999.1115,1.9522573,154.34349,155.83629,nan,nan,164.01971,nan,nan,nan,nan,nan,nan,nan,97.0,18.0,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,701.0,529.0,3536.0
146824641,146824306,6684682,1999.1115,1.9522573,154.12497,nan,nan,nan,164.01971,nan,nan,nan,nan,nan,nan,nan,85.0,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,697.0,529.0,4605.0
146829149,146825778,6684682,1999.1115,1.9522573,154.12497,nan,nan,nan,77.878204,nan,nan,nan,nan,nan,nan,nan,85.0,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,697.0,563.0,4605.0
146955626,146951878,6684682,1999.1115,1.9522573,154.31772,155.68689,152.80608,nan,77.878204,nan,nan,nan,nan,nan,nan,nan,52.0,40.0,25.0,nan,16.0,nan,nan,nan,nan,nan,nan,nan,709.0,563.0,5214.0
147081614,147080982,6684682,1999.1115,1.9522573,155.99834,154.21452,56.61546,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,26.0,17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,695.0,494.0,5510.0
147212025,147208585,6684682,1999.1115,1.9522573,125.12043,121.111755,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,535.0,518.0,3727.0
147338733,147337689,6684682,1999.1115,1.9522573,nan,nan,nan,nan,86.01968,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.0,nan,nan,nan,nan,nan,nan,nan,502.0,525.0,964.0
147594819,147592894,6684682,1999.1115,1.9522573,87.73586,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,487.0,454.0,499.0
147599577,147595897,6684682,1999.1115,1.9522573,87.73586,nan,nan,nan,nan,nan,nan,nan,84.04093,nan,nan,nan,13.0,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,487.0,453.0,499.0
147720856,147720497,6684682,1999.1115,1.9522573,85.874695,48.80643,nan,nan,nan,nan,nan,nan,84.04093,nan,nan,nan,13.0,10.0,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,464.0,453.0,499.0
148108762,148107808,6684682,1999.1115,1.9522573,nan,nan,nan,nan,nan,nan,nan,nan,85.897026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,453.0,451.0,470.0
148234759,148233909,6684682,1999.1115,1.9522573,52.710945,nan,nan,nan,nan,nan,nan,nan,85.897026,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,456.0,451.0,470.0
148365283,148364515,6684682,1999.1115,1.9522573,nan,nan,nan,nan,nan,nan,nan,nan,86.04976,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,nan,nan,nan,434.0,456.0,498.0
148491710,148490616,6684682,1999.1115,1.9522573,nan,nan,nan,nan,85.89932,nan,nan,nan,86.04976,nan,nan,nan,nan,nan,nan,nan,13.0,nan,nan,nan,36.0,nan,nan,nan,464.0,503.0,498.0
148752233,148748825,6684682,1999.1115,1.9522573,nan,nan,nan,nan,nan,nan,nan,nan,87.56234,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.0,nan,nan,nan,493.0,458.0,529.0
148878516,148876428,6684682,1999.1115,1.9522573,nan,nan,nan,nan,nan,nan,nan,nan,87.49271,42.94966,37.092888,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.0,16.0,10.0,nan,447.0,474.0,487.0
149008878,149005577,6684682,1999.1115,1.9522573,nan,nan,nan,nan,nan,nan,nan,nan,87.69837,40.997402,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.0,16.0,nan,nan,496.0,504.0,534.0
149130468,149130133,6684682,1999.1115,1.9522573,37.092888,nan,nan,nan,nan,nan,nan,nan,87.69837,40.997402,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,25.0,16.0,nan,nan,489.0,504.0,534.0
149774826,149771195,6684682,1999.1115,1.9522573,50.75869,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,491.0,463.0,461.0
